symbol,returnOnEquity,returnOnAssets,dividendYield,cluster,sector
MANAPPURAM.NS,24.28,5.28,1.68,0,Financial Services
MARICO.NS,31.7,15.24,1.43,2,Consumer Defensive
MASTEK.NS,28.2,11.18,0.56,2,Technology
MAZDOCK.NS,18.73,0.56,1.33,0,Industrials
METROPOLIS.NS,34.69,20.13,0.24,2,Healthcare
MINDTREE.NS,33.19,16.82,0.41,2,Technology
MINDACORP.NS,14.05,5.2,0.52,0,Consumer Cyclical
MINDAIND.NS,15.06,6.42,0.14,0,Consumer Cyclical
MIDHANI.NS,17.76,5.96,1.3,0,Basic Materials
MOTILALOFS.NS,35.73,11.6,1.15,2,Financial Services
MPHASIS.NS,22.28,10.78,1.26,0,Technology
MCX.NS,10.16,5.13,1.71,0,Financial Services
MUTHOOTFIN.NS,27.48,6.18,1.36,0,Financial Services
NATCOPHARM.NS,6.18,2.64,0.7,0,Healthcare
NBCC.NS,16.76,0.84,0.29,0,Industrials
NESCO.NS,11.53,7.66,0.5,0,Industrials
NLCINDIA.NS,8.77,3.64,1.8,0,Utilities
NTPC.NS,12.09,3.36,4.82,1,Utilities
NAVINFLUOR.NS,15.58,9.52,0.28,0,Basic Materials
NESTLEIND.NS,97.92,22.44,1.57,2,Consumer Defensive
NAM-INDIA.NS,25.33,18.9,2.57,2,Financial Services
ONGC.NS,9.13,2.86,5.79,1,Energy
OFSS.NS,30.87,20.64,4.53,1,Technology
PIIND.NS,14.74,7.39,0.17,0,Basic Materials
PNCINFRA.NS,19.17,7.58,0.15,0,Industrials
PETRONET.NS,25.64,12.89,8.35,1,Energy
PFIZER.NS,24.75,12.95,0.61,2,Healthcare
PHILIPCARB.NS,23.76,10.02,3.11,2,Basic Materials
PHOENIXLTD.NS,2.48,2.1,0.12,0,Real Estate
PIDILITIND.NS,24.36,13.95,0.39,2,Basic Materials
POLYMED.NS,19.81,9.72,0.24,0,Healthcare
POLYPLEX.NS,15.96,9.14,8.86,1,Basic Materials
PRAJIND.NS,10.65,4.11,0.67,0,Industrials
PRESTIGE.NS,25.28,2.73,0.34,0,Real Estate
QUESS.NS,3.08,2.75,1.7,0,Industrials
RITES.NS,18.6,6.71,6.92,1,Industrials
RAIN.NS,16.08,4.66,0.44,0,Basic Materials
RAJESHEXPO.NS,9.61,3.99,0.13,0,Consumer Cyclical
RALLIS.NS,12.0,5.34,1.22,0,Basic Materials
RATNAMANI.NS,14.93,8.31,0.69,0,Basic Materials
ROSSARI.NS,16.87,8.54,0.04,0,Basic Materials
ROUTE.NS,23.57,10.91,0.11,0,Communication Services
SBILIFE.NS,12.01,0.38,0.21,0,Financial Services
SJVN.NS,13.4,5.36,8.47,1,Utilities
SKFINDIA.NS,28.49,16.2,0.38,2,Industrials
SRF.NS,22.85,9.9,0.3,0,Basic Materials
SCHAEFFLER.NS,16.91,9.94,0.55,0,Industrials
SHARDACROP.NS,15.19,5.91,1.16,0,Basic Materials
SHILPAMED.NS,2.49,1.39,0.19,0,Healthcare
SCI.NS,7.5,2.58,0.17,0,Industrials
SHREECEM.NS,17.24,9.35,0.21,0,Basic Materials
SHRIRAMCIT.NS,13.25,3.12,1.53,0,Financial Services
SIEMENS.NS,10.58,4.6,0.34,0,Industrials
SOBHA.NS,4.07,3.99,0.41,0,Real Estate
SBIN.NS,10.43,0.64,0.8,0,Financial Services
SUNTV.NS,23.85,14.42,4.6,1,Communication Services
SUNDRMFAST.NS,16.63,8.1,0.62,0,Consumer Cyclical
SUPRAJIT.NS,21.26,9.22,0.42,0,Consumer Cyclical
SUPREMEIND.NS,39.87,19.35,1.04,2,Industrials
TCIEXP.NS,31.47,20.13,0.27,2,Industrials
TTKPRESTIG.NS,21.01,11.41,0.8,0,Consumer Cyclical
TVSMOTOR.NS,15.54,5.21,0.57,0,Consumer Cyclical
TANLA.NS,50.17,20.71,0.16,2,Technology
TATACHEM.NS,5.26,2.48,1.21,0,Basic Materials
TATACOFFEE.NS,11.4,5.43,0.71,0,Consumer Defensive
TCS.NS,38.17,21.42,1.11,2,Technology
TATACONSUM.NS,5.16,3.84,0.52,0,Consumer Defensive
TATAPOWER.NS,7.19,2.88,0.69,0,Utilities
RAMCOCEM.NS,14.6,6.95,0.29,0,Basic Materials
THYROCARE.NS,44.96,25.98,2.25,2,Healthcare
TORNTPOWER.NS,12.78,5.66,2.0,0,Utilities
ULTRACEMCO.NS,14.66,7.72,0.51,0,Basic Materials
VGUARD.NS,18.23,10.27,0.45,0,Industrials
VAKRANGEE.NS,3.28,1.67,0.25,0,Technology
VALIANTORG.NS,25.11,13.21,0.18,2,Basic Materials
VTL.NS,18.16,9.74,2.63,0,Consumer Cyclical
VEDL.NS,20.16,6.66,7.53,1,Basic Materials
VENKEYS.NS,25.9,13.14,0.68,2,Consumer Defensive
VOLTAS.NS,12.4,6.01,0.5,0,Industrials
WELCORP.NS,16.64,4.49,4.2,1,Basic Materials
WELSPUNIND.NS,20.05,8.34,0.11,0,Consumer Cyclical
WHIRLPOOL.NS,21.23,4.8,0.22,0,Consumer Cyclical
WIPRO.NS,19.63,9.15,0.16,0,Technology
ZENSARTECH.NS,13.69,9.07,1.01,0,Technology
ECLERX.NS,23.88,15.73,0.05,2,Technology
